"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
942,1081312435.5355,735788649.196282,1992,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.680458880353019
942,1081312435.5355,2934541.51523348,1997,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.00271387012559437
942,1081312435.5355,36042890.6126003,1998,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.0333325405573004
972,645720029.291655,25149.0626969635,1970,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",3.89473170354522e-05
972,645720029.291655,44361788.4255546,1987,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.0687012736374599
972,645720029.291655,1369661.64857683,1991,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.00212113855300312
972,645720029.291655,595927364.319472,1992,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.922888151654821
1385,278377300.82562,262626093.886191,1997,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.943417775469791
1385,278377300.82562,1606448.60118128,2004,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.00577076003114055
1385,278377300.82562,3183405.81959708,2010,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.011435579733533
1389,941891530.095507,1596246.25427268,1975,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.00169472407731581
1389,941891530.095507,267402002.251609,1984,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",0.283898934970245
1389,941891530.095507,32013.9349110723,1987,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","HUN",3.39889826887243e-05
