"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
8179,992425349.31919,4015826.92974614,2019,FALSE,2,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.00404647758393215
8181,627043037.280003,4472545.85474192,1966,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,627043037.280256,NA,"",0.00713275738479292
8181,627043037.280003,11396.315459013,1967,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,627043037.280256,NA,"",1.81746942099032e-05
8181,627043037.280003,14127777.5573109,1971,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,627043037.280256,NA,"",0.0225307940880654
8181,627043037.280003,9596738.35158263,1994,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,627043037.280256,NA,"",0.0153047522753965
8181,627043037.280003,8535.4813534487,2002,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,627043037.280256,NA,"",1.36122735537804e-05
8181,627043037.280003,294681283.433285,2003,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,627043037.280256,NA,"",0.469953840348117
8184,287206688.489961,1475920.84135401,1966,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,287206688.489968,NA,"",0.00513888046658636
8184,287206688.489961,4778067.21909255,1972,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,287206688.489968,NA,"",0.0166363368632328
8184,287206688.489961,133257788.932384,1989,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,287206688.489968,NA,"",0.463978710360161
8184,287206688.489961,24505057.6176717,2007,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,287206688.489968,NA,"",0.0853220297428005
8184,287206688.489961,301611.52451133,2008,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,287206688.489968,NA,"",0.00105015494624135
2774,10091584.6581228,10043636.6418224,1985,FALSE,1,"18590","ITA","Monti Reatini","ITA",TRUE,"18590",1,1,0,1,10250826.1287451,NA,"",0.995248712870695
2773,294623894.456618,229318267.251971,1996,FALSE,1,"18590","ITA","Monti Reatini","ITA",TRUE,"18590",1,1,0,0,297471621.792955,NA,"",0.778342393697932
2773,294623894.456618,9598.94509362476,2014,FALSE,1,"18590","ITA","Monti Reatini","ITA",TRUE,"18590",1,1,0,0,297471621.792955,NA,"",3.25803347054668e-05
2773,294623894.456618,150250.74428645,2016,FALSE,5,"18590","ITA","Monti Reatini","ITA",TRUE,"18590",1,1,0,0,297471621.792955,NA,"",0.000509974741062878
2774,159241.451814145,159241.451814145,1985,FALSE,1,"18597","ITA","Monti Sabini","ITA",TRUE,"18597",1,1,0,1,10250826.1287451,NA,"",1
2779,282308.601172063,0,0,FALSE,0,"18597","ITA","Monti Sabini","ITA",NA,NA,1,1,0,0,1215846545.92913,NA,"no pas overlapping this kba",0
2777,108400254.326702,107907678.721032,1989,FALSE,1,"18597","ITA","Monti Sabini","ITA",FALSE,"18597",1,1,0,0,108400254.326623,NA,"",0.995455955258317
46977,176206559.429324,26707331.0577139,1998,FALSE,1,"19033","ITA","Pantelleria","ITA",FALSE,"19033",1,1,1,0,176206559.429352,NA,"",0.151568313598599
46977,176206559.429324,130746311.340517,2005,FALSE,1,"19033","ITA","Pantelleria","ITA",FALSE,"19033",1,1,1,0,176206559.429352,NA,"",0.742005926249072
46977,176206559.429324,0.136448994927678,2015,FALSE,2,"19033","ITA","Pantelleria","ITA",FALSE,"19033",1,1,1,0,176206559.429352,NA,"",7.74369554513702e-10
46977,176206559.429324,1182918.96464233,2016,FALSE,1,"19033","ITA","Pantelleria","ITA",FALSE,"19033",1,1,1,0,176206559.429352,NA,"",0.00671325158650973
10081,1519879963.24364,877806279.447646,2001,FALSE,1,"17727","MEX","Sierras y Llanuras Occidentales","MEX",TRUE,"17727",1,1,0,0,2998844109.79937,NA,"",0.577549741213958
10082,13297365.2226308,0,0,FALSE,0,"17727","MEX","Sierras y Llanuras Occidentales","MEX",NA,NA,1,1,0,0,781151305.378125,NA,"no pas overlapping this kba",0
47119,11059308.1149595,0,0,FALSE,0,"17727","MEX","Sierras y Llanuras Occidentales","MEX",NA,NA,1,1,0,0,43618387.1143995,NA,"no pas overlapping this kba",0
10080,133968844.80115,0,0,FALSE,0,"17727","MEX","Sierras y Llanuras Occidentales","MEX",NA,NA,1,1,0,0,133968844.801055,NA,"no pas overlapping this kba",0
10081,1478841726.02571,415639534.691102,2001,FALSE,1,"17740","MEX","Mesa del Centro","MEX",TRUE,"17740",1,1,0,0,2998844109.79937,NA,"",0.281057483959495
10137,128550161.693651,0,0,FALSE,0,"17740","MEX","Mesa del Centro","MEX",NA,NA,1,1,0,0,896584483.535928,NA,"no pas overlapping this kba",0
47158,9513088.2065053,0,0,FALSE,0,"17740","MEX","Mesa del Centro","MEX",NA,NA,1,1,0,0,9513088.20642248,NA,"no pas overlapping this kba",0
47136,17175004.5944085,17175005.9273786,2007,FALSE,1,"17740","MEX","Mesa del Centro","MEX",TRUE,"17740",1,1,0,0,2366408038.30612,"clipped by: 10006 ;","",1.00000007761104
47088,29010305.9559481,0,0,FALSE,0,"17740","MEX","Mesa del Centro","MEX",NA,NA,1,1,0,0,224732887.897402,NA,"no pas overlapping this kba",0
10053,122896029.925465,0,0,FALSE,0,"17740","MEX","Mesa del Centro","MEX",NA,NA,1,1,0,0,1211752149.47839,NA,"no pas overlapping this kba",0
23114,71267431.3128964,0,0,FALSE,0,"19379","CHN","Yun Range (nn)","CHN",NA,NA,1,1,0,0,71267431.3128719,NA,"no pas overlapping this kba",0
15560,3814295748.93162,3814299653.83544,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",TRUE,"19379",1,1,0,0,11397686495.6763,NA,"",1.00000102375486
27197,1601052.0234041,0,0,FALSE,0,"19379","CHN","Yun Range (nn)","CHN",NA,NA,1,1,0,1,63739330.045939,NA,"no pas overlapping this kba",0
15558,101610858.172851,0.422063091342194,2003,FALSE,1,"19379","CHN","Yun Range (nn)","CHN",TRUE,"19379",1,1,0,0,1900493099.96263,"clipped by: 15560 ;","",4.15372036937449e-09
15494,281519401.356441,0,0,FALSE,0,"19379","CHN","Yun Range (nn)","CHN",NA,NA,1,1,0,0,1732387660.06744,NA,"no pas overlapping this kba",0
