"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","mountain","terrestrial","note","percPA"
31303,29265082.7582502,29265087.3032492,2008,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",1.0000001553045
25,207867671.595404,1009478.09654892,1989,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.00485634966130653
25,207867671.595404,12043392.5119647,2007,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.0579377852242751
25,207867671.595404,99216152.7790042,2008,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.477304392826027
25,207867671.595404,2187073.88551727,2009,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.0105214719957715
25,207867671.595404,960.470963469255,2013,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",4.62058845465266e-06
25,207867671.595404,80123108.2576541,2014,FALSE,7,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.385452473887361
25,207867671.595404,5050.75808285988,2016,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",2.42979489984894e-05
24489,78975394.4660021,21405752.8392349,2003,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.271043316516131
24489,78975394.4660021,40678072.7643681,2016,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.515072739293243
24495,9476683.47970519,9476425.99097046,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.999972829235536
31307,28942221.51776,4378308.78688756,2008,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.151277564654146
31307,28942221.51776,24504898.1561395,2013,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.846683387489881
33,7447332.99480165,402597.189538153,2001,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.054059243734525
33,7447332.99480165,3576463.77370684,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.480234169225851
33,7447332.99480165,2180.484000641,2008,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.000292787230296135
33,7447332.99480165,3468789.29714203,2014,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.46577604352636
31312,97963898.0155495,0,0,FALSE,0,"18709","CYP","Pentadactylos","CYP",NA,NA,NA,0,1,"no overlaps btwn PAs and kbas in this range",0
21,263953862.183451,0,0,FALSE,0,"18709","CYP","Pentadactylos","CYP",NA,NA,NA,1,1,"no overlaps btwn PAs and kbas in this range",0
31301,5925256.02696583,0,0,FALSE,0,"18709","CYP","Pentadactylos","CYP",NA,NA,NA,0,1,"no overlaps btwn PAs and kbas in this range",0
31308,182291462.757344,0,0,FALSE,0,"18709","CYP","Pentadactylos","CYP",NA,NA,NA,0,1,"no overlaps btwn PAs and kbas in this range",0
24486,588809586.766453,0,0,FALSE,0,"19457","CYP","Kyrenia Mountains (nn)","CYP",NA,NA,NA,0,1,"no overlaps btwn PAs and kbas in this range",0
6920,1412208956.82487,4253540.3382709,1977,FALSE,1,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,0,1,"",0.00301197660425148
6920,1412208956.82487,77640652.1183078,2001,FALSE,1,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,0,1,"",0.0549781615129184
6921,13574717.9813327,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,1,1,"no pas overlapping this kba",0
6923,817498.786009046,751083.150255466,2012,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,0,1,"",0.918757511460273
6925,243206.475658857,227996.009690493,2012,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,0,1,"",0.937458630872563
6927,27051143.1374553,23848250.4549876,2007,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,0,1,"",0.881598619836773
6928,6354063.77367735,2862312.92072441,2007,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,0,1,"",0.450469655747234
6929,6844403.08859443,6450758.61329469,2007,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,0,1,"",0.942486660968914
6930,61754.1037869118,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
6932,777190.95918974,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
6933,15229047.0160284,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
6940,8675666.45948188,7670956.52586996,2012,FALSE,2,"19347","TUN","Dorsale tunisienne (nn)","TUN",FALSE,"19347",TRUE,0,1,"",0.884192189925208
29331,840526.093015319,0,0,FALSE,0,"19347","TUN","Dorsale tunisienne (nn)","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
